PU1,PEOU1,TECH1,ORG1,ENV1,PU2,PEOU2,TECH2,ORG2,ENV2,PU3,PEOU3,TECH3,ORG3,ENV3,INT1,INT2,INT3,PERF1,CUST1,PERF2,CUST2,PERF3,CUST3,Age,Experience,Department,Gender,Random_Noise1,Random_Noise2,Unused_Category
2.986659958057032,3.2456152825452285,5.0,2.6897041657057024,2.9583075928945304,2.9763400298011216,3.4090482128107067,5.0,2.8277974835664814,3.127705628206198,2.7952344203421853,3.295201008456459,3.951458308363143,3.092867514816931,3.065807194033871,3.156868545420396,3.0793155335104117,2.9200011380775925,1.9263891128932489,1.827151143941015,1.8014642548883317,2.060248894362498,1.9729542021126494,1.6647616716199176,57.0,22.0,Operations,Female,-0.031720038199616316,15.0,C
3.409253538488004,4.0326260441834085,2.886158114798992,3.4533258678691396,4.105578323759747,3.234245326405676,4.8257637764600485,2.1033113319049184,3.2197412842457664,3.8055395985775182,3.558390196647777,4.224498870573502,2.600145026469606,,4.6204897502834115,4.695064095171163,3.9641006321881918,,2.3568123791519797,1.8312370068123849,1.9631231127316964,2.1847362352202673,,2.394025697879896,33.0,,Customer Service,Male,-0.05755248851238869,75.0,B
3.163509085959766,4.5194990545615905,5.0,4.008224654371643,4.217526762781192,2.45484557866579,3.6667524420964774,5.0,4.475282171358533,3.839771645419647,3.3870018294807216,4.428175289545586,5.0,3.7831629534272926,4.251688307598346,3.190525614362085,3.8541543108971266,4.085581131804041,2.1976354778735803,1.6888324816058857,2.61818722828141,2.467829264457122,2.2560820489776363,2.3909977331204084,38.0,13.0,Sales,Male,-0.5445233196183789,88.0,B
4.286258641004239,,3.362739336005271,4.2877509954822,2.1115012623040816,4.342936749225476,3.6350741934229345,3.1363556783862667,4.319242138058749,2.4677528127691413,4.433170637856298,3.2572843485054497,3.2829947141588165,,2.6731806244536673,4.150985042602793,4.224654921372437,3.606286592827734,2.7712308598599296,,3.1429016448980023,2.7606766235574383,3.0062079013616367,2.5885147720065103,36.0,27.0,HR,Female,1.5531301440892038,,B
4.079350452292735,3.20552109139958,2.3066645594084534,3.628739427173721,3.9079718063565743,4.508832735448934,3.0651122781679936,3.0572716185907822,3.2042715790588474,3.9008970703682087,3.568720714763706,2.956059164704533,3.1409905904024273,3.483593750196647,4.868095414880168,3.2402104721279015,3.4053551603703376,2.8689228888294735,2.301998136664311,1.7707002025758372,1.0,2.1172282202915316,1.9780946294909074,2.7275922313911884,38.0,3.0,Customer Service,Female,,69.0,D
5.0,4.7836733474206765,3.910723655903117,4.425164811103572,2.7865301181875712,5.0,5.0,2.8758268747788134,5.0,3.6651212053240103,5.0,5.0,3.4510380740545,4.369243481767526,3.440310450760457,4.704048189592731,4.468911431525184,4.493172476361757,3.161973930425509,,3.4711203211585167,2.5941429053448823,3.8167644966649954,2.8106725830074923,49.0,15.0,HR,Male,0.9513263002551327,89.0,A
5.0,3.9705994757087293,,3.006750603753596,5.0,4.860434519365331,3.5790200539563553,4.0785408596046615,,5.0,5.0,4.000690228679161,3.990111111034784,3.1063507624042614,5.0,4.706843187570979,4.409946168824883,4.761366231921536,2.9173266249218797,3.2520185826101136,3.270410819110878,3.021342798780956,3.288621382570316,3.36372569298948,33.0,26.0,Operations,Female,0.6019805415322014,45.0,A
4.232744755401169,4.1095078077379465,4.7964819867706,2.6801868211575033,4.92252259650386,5.0,3.9737862875801104,5.0,2.34126887468653,5.0,4.519071168349366,4.123823862929789,4.942852652682549,2.700330593234601,5.0,3.991802539275829,3.9455811739134843,4.104412628858554,2.398818060664302,,2.281926771432435,3.1261435892329557,2.5597978769940495,3.112964464758327,57.0,10.0,Customer Service,Male,-0.8750352925104771,45.0,A
4.066193297242541,5.0,2.940432612421345,3.664222933919793,3.8618006378414784,,,2.7424147948649717,4.295410135723785,2.6135357143505487,4.603448171370927,5.0,3.1145558873883648,3.659113112232003,2.84229084044205,4.199209732057317,3.808102186736889,3.9220648219255594,2.1328806700849268,,1.1897585489397575,2.4569504101752746,1.8446205134517295,2.3334431301562937,59.0,2.0,IT,Female,0.4456290117979777,18.0,C
4.46328824194641,4.631386726384854,3.736618848989609,4.69163194843598,4.273979162070895,5.0,3.9488364950784955,3.585607579218707,4.994218433406919,2.8911352836595183,4.944448280916385,,4.8201114345467415,4.690949417973136,2.7020976997175783,3.589251735472677,3.712135357905377,3.392085039406961,2.253724389316031,3.2218692230332597,2.693242493269179,2.8308957714002334,2.4911752458444916,3.2061732134665677,41.0,24.0,Customer Service,Female,-0.763836247335391,84.0,A
3.895955043572259,3.388024618672342,2.792090716712318,4.424519307620478,2.950203196857913,3.939734763416621,3.2465504068583573,3.1462829059026998,3.9528530130581068,3.6309544028837397,4.115827343860126,3.5969738982477346,2.7654260037006226,4.939630499667237,3.6327809542763188,4.108430026347441,3.9917196315651324,4.398853448759595,1.7184355392543231,1.696041835418654,2.2623243006981033,1.9929545856081452,2.1729705146701193,1.8720532698690213,39.0,2.0,HR,Male,1.871832244688294,79.0,B
3.9297102087427014,4.475079712417547,3.6856275447207474,4.372397052928692,4.34832628521655,3.8811338667665387,5.0,,3.724673140294509,5.0,3.8472656506000913,4.451183598339547,3.9790040704349128,4.326404624080586,4.907568549549371,4.041164411040947,5.0,4.708285095613032,2.9919879755691374,3.469310179288122,3.3636679782833014,3.508441865177459,3.4436579865403383,3.86491144768763,47.0,8.0,Sales,Female,-0.4564090892755749,18.0,B
3.421665869691226,4.109230908275156,3.394885855310977,2.6914905696590283,3.831886920980468,,3.880635770395824,3.919248288760083,3.35760285590783,4.432357444872257,3.8810767354459093,3.420758059323846,,3.7649227488768613,4.530884546807335,4.497624877914343,4.667359410848416,4.361285245122386,2.118439975270537,3.4321319266599284,1.9557274756272252,3.4729996958949587,2.075996883234585,3.059781763818499,45.0,21.0,Operations,Male,-0.46102099061315766,92.0,B
4.196848811593233,3.600523699975699,3.8031731827469524,4.051264304758482,2.3194881549553807,3.5938753822713765,3.7971682067644754,4.698842689786596,3.857484673906845,3.20166627398883,3.994777220523148,3.8061666042557185,4.01622232910996,3.7717263827306735,2.85303510601907,3.422705296323154,3.5354523903875927,3.742001411945247,2.603786162330501,1.621413472849739,2.6324443490581872,1.3038105038860488,2.599385032481208,1.7283859550938176,30.0,28.0,Customer Service,Female,-0.781303475057011,21.0,D
4.451321161083612,4.039245582071086,3.167489471250628,3.7704673760803504,2.608099635323323,4.878448174946349,4.254108602132817,3.793155030231089,3.455625973451957,2.215627197294922,4.543713030564137,4.3614570383008,3.6668795818194067,4.1277501729992085,2.2747527552653626,4.085788133669708,,4.112101256501254,2.4063141117227187,2.315691726106712,2.142382002447624,2.410428091021548,2.6672599398859975,2.2479778574959677,46.0,26.0,Sales,Female,0.624641375600378,55.0,C
4.456810956400728,4.725582707800601,3.774975025290143,3.311418771577891,4.534087288583531,4.370004918592021,3.8077808015183585,3.765957530174205,3.471743271074194,4.420199836166277,3.70189873979131,4.0600376335844,3.8844976192464706,3.5114468750563264,5.0,3.772074982627248,3.7454716952211324,3.932091417041927,2.5050618621189953,3.376716392308935,,3.348953662459657,3.0279926177028313,,49.0,11.0,Sales,Female,1.6396773743063706,87.0,D
3.751806204876823,4.203485238087865,5.0,4.442416882492406,5.0,3.8057338527784377,3.5688666102084943,4.526243365563935,4.006767091231627,5.0,3.994351353621252,4.032816073243692,4.900310737404993,3.2780880219601256,4.402985411995302,3.6522902525768948,3.699722292092517,4.459490667991736,2.0461884190040927,3.649303350647312,2.0280789057922335,2.962163639684525,2.121297891890221,3.0377382396446864,28.0,,Customer Service,Female,-0.3280286862875534,51.0,C
3.5531997989724275,3.3309583159742333,3.756049613123166,4.20679380701979,3.1969101556800767,3.657730821192904,3.6837761449273785,3.779811221098562,3.3629830127120686,3.281927440568602,4.01245517935771,3.709012214805485,3.7636957063909557,3.634032882870696,,4.084984151642391,3.577212636185787,3.969448325737364,2.6713679777730936,2.293773907226492,2.8537707767636,2.029762255865377,3.3096964212402638,1.8530525326927538,46.0,24.0,HR,Male,-0.5259630143669273,9.0,D
4.345128911740438,3.4456151317953694,,3.5180549348775503,4.320634862917551,4.416555218648788,3.635633561556658,3.2553963654605282,3.617261133748176,4.324787795953977,3.6608469937508126,3.1278027516209472,3.120197902385175,3.8171015092571725,3.7868514139650435,3.1042857083233226,2.9192062111967734,3.2617641929264565,1.88232849777821,2.362227643757284,2.4003157483176767,1.701740672474199,2.4320324328688785,1.851670792225361,22.0,5.0,Sales,Male,0.7900961597924638,74.0,
4.698015678060936,4.949560632754513,3.16313522559331,,2.8913886328354805,4.551378063182295,,3.146928531256049,3.7343051727583343,2.579358209692003,4.1038991170690196,4.956547542461095,2.773768637121549,4.289326191262944,1.9472991672399353,4.968484506318516,4.9952396367792495,4.09791685753635,1.7461105878751364,3.819933560868009,2.4605130905828414,3.6798223316087086,2.0857446561497643,,35.0,20.0,IT,Male,1.1448145114964883,39.0,A
3.389013181055626,4.089804290871693,3.751981941538327,3.593025853433568,4.242098685860669,3.334554527351383,3.413933752712085,3.8223305286595304,3.1657106321033313,4.259123873788742,3.796197807909056,3.2159364306780422,2.9198836759971654,3.7014521356506087,3.6878870293911703,3.561753521310161,4.415847337899163,3.708074793495247,1.9732788285946765,2.0806371683905676,1.9336749182811244,2.2459948631194036,1.7243193428617687,1.9332354789198685,52.0,17.0,Sales,Female,,84.0,C
4.155689215576159,4.094872300431211,4.062001937376382,3.812639556125558,3.670288638604873,3.7403648248749723,4.083504299402086,3.514417200099103,3.3870528882738764,3.1446715610355818,4.2601945009794004,4.09704546572593,,4.089037558141448,4.088518735021092,3.4040536087380753,4.322048301156084,3.4444578343191044,2.8749731438482606,2.107399572913495,3.069649024292785,2.237014079479105,3.0628139130872714,2.4549833704067567,41.0,16.0,,Female,,40.0,C
4.152916023391527,4.553246241503244,3.093097488505054,3.6638090556509115,4.051684994663998,5.0,5.0,3.344879532417413,3.94789862640536,4.848664301270509,5.0,4.9578729577343985,2.867062135595782,3.978142475390584,4.289668402137707,4.998856120983263,3.8307998202633367,4.779199234707834,2.268041008700737,2.745715235919671,3.1746462710231156,2.7289148966274523,3.1933328700719152,2.5943912677094874,48.0,8.0,Operations,Female,-0.374612374842808,24.0,
3.1662966282758087,4.968274832387313,4.023217964328325,2.9285460605391185,3.0174891435149997,3.8876601117084997,5.0,3.562920463943546,,3.6349273096377743,2.739202616122284,4.251794683540176,3.848107732372764,2.9962686274953576,3.8931403106658293,3.1172503851333504,2.996365498098283,3.977977403937298,2.480576051037782,2.469313543627222,3.0957222717445605,2.350300563633307,2.5264779226254426,2.9857804155416687,,21.0,,Male,-1.4279196459948857,58.0,
4.809556996188993,4.012778768738826,4.236294528474937,4.577925413092751,2.764125761976228,4.095372400439031,4.060958798685327,3.574042457943287,,2.5264896245751998,4.4667652847646275,4.735089299840949,4.513962952318313,3.8800626269131926,1.7304814655572507,4.208439071627093,4.230163039534243,3.6880359100487166,2.116548497999468,3.051592059216339,2.014741387069508,3.4301497728350556,2.2840361604714006,3.795976286057831,45.0,29.0,,Male,0.9577343493579445,86.0,B
3.542731301475212,5.0,4.751101774556264,3.723876812768753,3.107202172898336,3.2188854378386846,4.583891746776125,5.0,4.7518727117036015,3.131102820941594,3.275293926218893,4.906997970266251,4.269070860254958,4.473410849803558,3.294827748170431,4.362075172943253,4.050903641079784,4.4968727322200825,2.1681740218769088,2.528744704886749,2.3826213186039724,2.083423156789324,1.9236236316064477,2.629376530511287,46.0,11.0,Operations,Male,1.0940183945194832,35.0,C
4.365056752929556,3.5129899010062102,3.504386313071732,3.81986703535622,4.141520258631023,3.9884226209422398,,4.349656739868606,3.842822108832405,3.777076424397464,4.29125854180901,3.220476549269724,3.4454508107162116,3.3660158410858525,3.851556036674034,4.204381134274482,3.4875317363579184,3.9008239601530272,2.9730718408996553,2.872041766659012,2.526688485406264,1.9506180442846341,2.0087615162957633,2.7983868543637183,31.0,22.0,IT,Female,-0.032932856862862285,47.0,A
3.6411906468936883,4.391766227508316,3.318995645480804,4.1127764057222675,2.9132914210949465,4.249955833225008,3.411866430917617,2.4898309019140092,4.301402237308119,2.672702937897995,4.099302188434242,3.839919324664541,3.09183447890557,4.068307572412243,2.7548589216549617,3.4829162570689034,3.7419669156377657,4.203121588693767,1.663776338595337,2.8149662085384892,1.2059503533168279,,1.8982749578504685,1.8054591995264553,29.0,15.0,Customer Service,Male,2.2084263494713103,38.0,C
4.048794605039845,3.6642414178360387,4.486371775932959,4.580068725944657,2.982466924581364,4.566328524745967,2.955208583331204,4.909416796690396,5.0,3.59086742189022,4.414470340244011,3.5592032746585582,4.000332561510085,5.0,3.46969894069552,4.650040750773378,4.110916357060498,4.378484321009205,3.8057830535744523,1.9517318546288867,2.9831252852947703,2.7752247943609167,3.2760778152879877,1.9276265739732135,33.0,15.0,Sales,Male,0.6601658379237871,55.0,B
3.090723904788596,5.0,2.799203946865439,3.859256774655872,4.38529145732984,3.2389918096192774,4.979412940205564,3.1306384081111385,4.443774768221866,4.342123751558161,3.5501179329693877,4.820382837701666,2.642342026296012,3.987011286772301,3.3350797044063696,3.067096652335193,,,2.450871421084067,2.706794450647538,2.7270931951227158,2.972732146073339,,2.81930157352293,,12.0,HR,Female,0.7548314749792495,60.0,C
3.9140649716314826,4.580268006562804,2.8385962794447743,4.408664224524365,2.6797554902924396,3.5355371935340836,4.673640416254779,2.9263936544986526,4.81306293789084,2.9661364312102667,4.5865403184885825,4.689554271921623,3.6405114231852242,4.388906052909096,2.6755921693231297,4.957965894922233,4.7828998916744885,4.091732654768361,2.6545387374448848,3.0836752123924995,2.5109018742849356,2.294263006368241,2.5548717829920373,3.115797463520092,34.0,28.0,Sales,,-0.09675880251923163,61.0,C
4.16229876130031,5.0,3.055744312039462,4.308982100822458,3.5988717583250875,4.317329125539754,4.6402218726896844,2.8235480967633766,4.8114524013578635,3.060190271018948,3.871502726557397,5.0,2.9060635928269583,4.806993088320342,3.164422865219048,4.507916098936469,4.509134828312984,4.355749985937413,,3.024922937671987,2.733133684433175,3.1118455805132457,2.6594417563521384,3.031154438502954,34.0,17.0,Customer Service,Female,0.90994374951858,97.0,D
4.641702001796763,4.161592407578669,3.978282676128392,3.5076192763426572,3.8149929127316784,4.527670176201462,4.700044903616155,3.532970029194651,2.7987620542854077,4.196664356866474,4.500494241167719,4.824263465841145,3.2717019601362374,2.495686871976317,3.8344637237590296,3.5777880025116957,3.6238632269276883,3.7399748597818623,2.248933061893959,2.6799713215562058,,2.6669834283039933,2.641294539963247,2.477904894797271,33.0,28.0,IT,Male,,74.0,A
4.062085874799516,4.542336176989523,,4.001175179910729,3.1383789351213416,3.400421814302071,4.105976311344426,4.229818478189351,4.20003444874916,3.4004019189989987,3.5406232782842983,3.9581588547492483,4.801938964989315,4.916482820447676,3.6748860174066063,3.8527520410474057,4.027184695953587,3.516072125987473,2.071017885080281,1.8886215906366035,2.6949635469033,2.2146046986387597,2.70283615796727,1.7193032239530486,46.0,10.0,Customer Service,Male,0.9504881780695312,67.0,A
4.001920704901552,3.815707785258509,4.5487982120349875,4.060286816420246,2.0173142062042477,3.8444063244254036,4.4772666859955494,4.270462880064869,3.774785816884997,2.468223006068036,4.057304458660269,3.895309932653305,4.3940487314645384,3.8210097156283616,3.148344899054824,4.637222289864343,4.433413895829757,4.266808173845713,1.6453872970700152,3.30183632805604,2.0269641772667883,3.920166429134695,,3.516963108971247,53.0,6.0,Customer Service,Female,-0.6483019167643141,94.0,
3.7402988861415696,3.4374516305756377,3.2570987128860147,3.6224197143843195,2.53354136815689,3.784980741766461,3.012856602796703,3.0784849667461005,3.693913928258491,2.511205923404616,3.5759678350793447,3.5927073287659854,3.389518158727549,4.030926069786309,2.9150280730363205,3.7251827820283605,3.3517740672216405,3.857549019610198,2.207458046901854,3.248286091892899,2.614416705773053,2.895966071795245,2.5848524779725732,3.028443696229013,32.0,10.0,Operations,Female,0.7876034829551489,63.0,A
4.189534961477894,3.9457191934927645,4.807710386833871,5.0,1.9634147607804329,4.1438161783624965,4.031238606546466,4.845400980719406,4.589456278289354,2.6243939054273056,4.057509489673184,3.8499013070101036,4.594765125171522,4.3764825196049415,2.454380813697981,3.882241327306009,3.9147763058168965,3.755235219322757,2.659587785466612,3.1811202997224473,2.9565115194750438,3.549625389724901,2.9853235348546123,3.294368085823013,41.0,9.0,Customer Service,Male,0.15594535681680446,64.0,A
4.379911473153191,,3.944522842522545,4.8115938446778435,3.339226654823666,4.8314336109444715,3.914639823419421,3.3773996871903242,5.0,3.5060213290695517,4.764182681955915,3.8231641830053977,3.21853132289349,4.685903093918686,3.8072966009638898,4.402320578492617,4.2036566939636515,4.200685689277279,2.4334512989846373,1.9698202195750012,2.8126372133191864,2.262599481309099,3.022473549797309,2.5341752101288204,29.0,24.0,IT,Male,-0.6727326842312945,,C
3.9466598983271144,,3.9216993936588573,4.306280802086404,2.857663503621028,3.8706157174500895,3.8361077053661448,4.2622211008211774,4.563163562693489,3.57394375074293,3.745868920984597,3.8314400148481402,4.539942768646099,4.217218859582451,3.5230013295408495,4.103885263349723,4.448125430548654,4.623093580386807,2.1917604355458877,2.8934350121264907,2.8353292426092276,2.953200421328852,2.576637677763177,,29.0,16.0,IT,Female,-0.10036678726349937,90.0,C
4.031533570891914,3.724727197603945,2.825313943789744,3.6137923396974054,2.694574753982251,4.193836751043409,3.956374576682594,2.831144145986336,3.3275097059846583,2.1655313654425616,4.263336250629725,3.8892760264229493,3.1855340891944905,4.533417336308335,2.5279776034623063,4.37624228522546,3.398864063059076,4.162257914985215,1.6589424099003744,2.0349279412865813,1.4579860601392518,1.7650569233088165,2.2704915332148334,1.1853902100250862,30.0,6.0,HR,Male,0.55795255330899,15.0,D
2.970907867490408,,3.147935020776529,4.300453387101327,3.4441411025288153,4.597226977352075,4.202985433370147,,4.303485377156276,3.053672804208971,3.765703861250179,3.4592540161928556,3.651701592406502,4.345548801128412,2.6771836980541606,4.51606113049641,4.272007493539863,3.451432406067376,1.762671298412398,2.8223601082063325,2.4803420313496334,2.3866797076633683,1.7231003006640264,2.992307076760043,,14.0,HR,Female,-1.0449895791436608,25.0,C
4.0165785192074175,3.535902783876774,3.5367118345850295,3.31209309100215,3.006147903597735,3.5269051820811024,3.258096737725891,3.811286323398475,3.853107762445192,2.519556338986924,4.379041887971403,3.387936268715721,3.7518776005525853,4.166120556112096,3.3035356005248935,3.660394300732989,3.0241639147284918,3.445572961090878,2.0438316932480416,1.92870221931416,1.880304555976915,,1.9250126166476853,2.283665156693107,48.0,13.0,Customer Service,Male,,58.0,D
4.040100067659922,3.4398602023783655,4.492685698530974,2.428150009393271,3.6334560437765258,3.07385871720999,3.94703204927514,4.095924131453487,3.197263427175322,4.924204371069156,3.112651066764063,4.273128664056918,3.8730061368993653,2.9914652959109787,,4.047208754430557,3.853773719567492,3.629764107063766,1.6040010915489658,2.09084984500798,1.4139874728896282,2.6766472906223497,1.6532906938420922,2.5800871744692695,22.0,29.0,IT,Female,0.19419828732675615,36.0,B
4.236067979096141,4.2547073691636665,4.50886231043368,2.7558870533277546,4.250658791969564,3.310419919836849,5.0,4.175558038265664,2.5547726578842784,4.542913708860363,3.5992004819263057,4.243004134082127,4.40400995889263,3.115084146559807,4.3987624101941,4.80770800652537,5.0,3.8977452870104923,2.742065084360323,2.6692162006639424,2.4703020766424304,3.217540621794442,2.758752897538031,3.011231925850659,,16.0,Customer Service,Female,1.3735119096578723,96.0,B
4.441195878668921,4.287630196604403,5.0,2.719484887959695,3.60437114422403,4.338284501678872,3.8457249079264786,3.7266281748827788,3.0292472271488227,3.4952785112182876,4.382605252600847,4.124238823311277,,3.754156089215145,4.132820069352573,3.8971813512422124,4.081966594750695,4.175683039736302,2.668378668286349,2.6714794025413577,,2.8167764573081753,2.415980724943876,2.6763137456346295,37.0,16.0,IT,Female,-0.4853109894480278,45.0,D
4.15118830986234,4.075220332322467,3.3980362082147186,3.3628741593102873,3.4981371492198807,4.191632178297988,3.9331343718048912,4.603652090854317,3.636723908575243,2.708567148548689,3.7986665429339825,3.7301534010223913,3.722252551477041,3.675055485887996,2.3344554052027746,3.411281111712216,4.144979539291061,4.301574692278191,2.746584989354319,2.0656435410473684,2.7717554326282277,2.4936744708274468,3.2557829971362584,1.8149101273933723,33.0,13.0,Sales,Female,0.8434076763394874,87.0,A
,4.178373585387929,2.774943423974424,2.9923152449357255,3.845638409685,3.095695929828552,4.167722968494804,3.425595192086274,2.8345300374443783,3.9981423427332716,3.82148865804598,4.3298927495918065,3.3978929719828423,3.0613635382049065,3.462757912179983,3.3780953847115476,3.7130432790277146,3.487785284494414,1.775619695786683,2.8656196904252367,1.793054581989034,2.6927364797547826,1.7233064269511789,1.5658948911295125,53.0,2.0,Customer Service,Male,-1.1988156765761135,39.0,D
4.0088350824104,3.6013437354050897,3.5659331988265093,4.062259570643263,3.6239252708878964,3.8700562192626653,3.294967067415651,3.042697295306977,3.604592804914073,3.930713904850694,3.6930186414284916,3.2429978914987165,3.498055269250577,3.861129882482628,3.724902577414983,4.2953451561388265,3.8582990839417657,3.916873295550173,2.5723639359955706,,2.2629585044249856,2.6965566863444317,2.3551457181301396,2.625356449136759,48.0,1.0,Sales,Male,-1.1189752774794748,19.0,C
3.3240326133430744,4.571164180051046,4.249725243655015,3.6816803012761063,4.400060544944005,3.831309677444748,4.310742490360164,4.0600972735428815,3.7041288034867006,4.076002587565282,3.7040536916427222,4.443801962568504,,3.256453790547229,,4.228514748548768,4.626131799252792,4.04330734721797,1.359385214162349,2.835809082228074,1.3834012483556644,3.556568662092567,1.8924786050188536,2.733705008327777,59.0,16.0,Operations,Male,0.18364584417256463,81.0,D
4.631198846414001,3.6004879605373428,3.3761585905789664,2.5260785666122856,2.8577696028437165,4.8028233618772305,2.7440376090566776,2.2762548121237707,3.497147250574024,3.1510545312154883,5.0,3.3399799044921767,2.573703015254824,3.005186132807001,3.5887135547517626,3.88495266479819,4.128613311159761,3.639569430730458,2.9725134569470795,2.4501016698452016,2.903386934672656,2.7374945058231286,2.561520827510465,2.127283837378357,52.0,14.0,Operations,Female,-1.2267963552271046,37.0,D
3.719959680473502,3.4072695226739107,2.5762728191830564,4.217475221582931,3.5632435470924437,3.0781196597361906,3.0335010880929234,2.6342536931541964,3.7719930378697173,3.371134848648767,3.979639769472373,3.4866063588574763,2.1510339502199503,4.155400882373173,,3.116929860315658,3.1679946158362227,3.5560003321413616,1.7459877080311996,1.9249483480059197,1.3993752602317673,2.1491534874946887,2.0613893709939153,2.3452171261702963,41.0,10.0,IT,Male,-0.8566032926474749,96.0,D
3.764055349562659,3.419305423095844,3.7216527869646625,4.620677543654565,4.134677108686148,4.46821282428019,4.020207485752291,4.042626295744296,5.0,3.4937981646933256,3.7191677280342166,3.3133745910417733,3.814168016116926,4.886125172795017,,3.1540602229351404,3.9991325309363144,3.4622470584797154,2.441412672070022,2.704199512587931,3.1849633102151307,2.3974026605061862,2.142571520301852,2.891832744201439,33.0,26.0,IT,Female,0.8952314141630912,6.0,D
